id|code|category|make|model|year|color|price|currency|update_date|create_date
1|0245-0008|Low|BMW|X6 M|2011|Indigo|244836|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
2|44087-0044|Low|Kia|Rio|2007|Pink|228781|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
3|16729-029|High|Ford|ZX2|2001|Crimson|274864|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
4|64725-0097|Low|Ford|Tempo|1985|Red|289954|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
5|62584-827|Low|Chevrolet|Suburban 2500|2004|Blue|239473|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
6|51009-197|Low|Chevrolet|Blazer|2002|Aquamarine|235682|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
7|51141-0237|Low|Saturn|Ion|2003|Yellow|233062|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
8|41163-810|Medium|Mazda|Mazda3|2007|Orange|248511|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
9|64117-296|High|Chevrolet|Malibu|2000|Maroon|233156|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
10|30142-231|Low|Acura|MDX|2012|Violet|255790|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
11|47593-503|High|Chevrolet|S10|1999|Maroon|241667|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
12|0268-1009|High|Toyota|4Runner|2006|Maroon|232952|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
13|0219-2020|Low|Nissan|Sentra|1995|Pink|261384|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
14|30142-862|High|Pontiac|Trans Sport|1998|Yellow|245056|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
15|59779-623|High|Mercury|Topaz|1992|Mauv|233485|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
16|21220-121|Medium|Ford|Econoline E250|1998|Yellow|243789|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
17|49643-377|High|Pontiac|Vibe|2006|Turquoise|258814|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
18|59088-829|High|Mercury|Sable|1992|Teal|251053|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
19|57520-0079|Low|Pontiac|Grand Prix|1979|Goldenrod|275801|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
20|66336-168|Low|Kia|Sedona|2002|Purple|247772|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
21|63777-082|High|Pontiac|Bonneville|1966|Crimson|283671|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
22|63868-248|Low|Nissan|Frontier|2009|Purple|225175|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
23|52959-085|Low|Pontiac|Sunbird|1986|Turquoise|263777|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
24|24385-130|High|Lincoln|Town Car|2007|Fuscia|221508|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
25|52124-0010|High|Audi|A6|2009|Purple|252328|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
26|13537-315|High|Suzuki|XL-7|2003|Yellow|253390|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
27|0126-0072|High|Volkswagen|rio|1998|Yellow|224701|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
28|21695-268|Low|Chevrolet|Metro|1998|Red|256134|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
29|60681-1305|Low|Lexus|LX|2007|Blue|256574|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
30|49967-444|High|Mercury|Cougar|2001|Indigo|236510|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
31|57520-0105|High|Volkswagen|GTI|1987|Purple|258305|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
32|55154-7269|Medium|Mazda|Miata MX-5|1993|Puce|257126|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
33|57924-001|High|Pontiac|6000|1991|Indigo|271492|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
34|43269-673|High|Suzuki|Cultus|1985|Khaki|247928|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
35|0591-3574|High|Mercedes-Benz|SL-Class|1993|Crimson|270632|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
36|61941-0101|Low|Maybach|62|2012|Green|246481|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
37|65643-330|Low|Dodge|Viper|1992|Pink|272611|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
38|64117-959|High|Dodge|Dakota|1998|Violet|240386|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
39|48951-2043|High|Audi|4000s Quattro|1986|Mauv|245488|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
40|11523-7228|Low|Volkswagen|Jetta|2010|Green|259136|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
41|68327-011|Low|Toyota|Corolla|1996|Maroon|243652|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
42|57520-0464|Medium|GMC|3500 Club Coupe|1994|Goldenrod|247167|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
43|67046-501|Medium|Pontiac|Grand Prix|1978|Maroon|239111|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
44|64679-771|High|Land Rover|Freelander|2005|Mauv|220867|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
45|66552-0001|Low|Dodge|Ram 2500 Club|1997|Purple|208360|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
46|36800-359|High|Cadillac|Fleetwood|1995|Yellow|255737|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
