id|code|name|operation_date|staff_count|country|state|address|update_date|create_date
1|626264e4-c45c-4fd8-a7a3-a34f4eb1d43c|Baumbach, Pfeffer and Wolf|2017-10-03|19|United States|Connecticut|58 Bayside Avenue|2017-12-31 00:00:00|2017-12-31 00:00:00
2|055fbdcf-48c1-43cf-81ba-9f1b4af9bf3d|Metz LLC|2017-06-23|13|United States|District of Columbia|940 Hooker Street|2017-12-31 00:00:00|2017-12-31 00:00:00
3|4f463e3c-382c-4838-a59c-f234777556df|Okuneva-Block|2017-11-24|8|United States|Missouri|9976 Kenwood Place|2017-12-31 00:00:00|2017-12-31 00:00:00
4|355fba50-6e88-442d-83d9-b75064bc8576|Cassin, Johns and Witting|2017-05-07|9|United States|Oklahoma|311 Burning Wood Court|2017-12-31 00:00:00|2017-12-31 00:00:00
5|3a836b72-3050-4441-9ca7-3b2a31569df9|Boyle, Durgan and Boehm|2017-10-28|13|United States|Ohio|3255 Portage Court|2017-12-31 00:00:00|2017-12-31 00:00:00
6|e0e21a18-d1e1-44e8-aea0-71961e74fea6|Walter, Medhurst and Jaskolski|2017-08-26|20|United States|California|1613 Lakeland Court|2017-12-31 00:00:00|2017-12-31 00:00:00
7|0cb816a4-a11e-4764-9ee7-de1f82ad7566|Hyatt, Ritchie and Halvorson|2017-02-10|14|United States|Tennessee|8 Oak Valley Crossing|2017-12-31 00:00:00|2017-12-31 00:00:00
8|9cbfbe33-a659-4b1b-b85b-1ee41f57eae3|Nitzsche Group|2017-03-18|13|United States|California|38760 Barnett Alley|2017-12-31 00:00:00|2017-12-31 00:00:00
9|850c6f93-14d0-4baf-8f19-64e02ea76e0e|Kuhlman and Sons|2017-11-05|4|United States|Texas|948 Buell Road|2017-12-31 00:00:00|2017-12-31 00:00:00
10|ad62ec58-61d0-4407-a48f-c9b44d0767a4|Grant Group|2017-08-07|13|United States|Virginia|2 Veith Crossing|2017-12-31 00:00:00|2017-12-31 00:00:00
11|24934b6f-1836-44ce-8489-57c22126d927|Kohler-Willms|2017-09-04|11|United States|Texas|1 Knutson Pass|2017-12-31 00:00:00|2017-12-31 00:00:00
12|d6bb93ee-8882-4f05-aeaa-d3a51806d0d6|Terry LLC|2017-02-03|5|United States|Colorado|32982 Comanche Parkway|2017-12-31 00:00:00|2017-12-31 00:00:00
13|17f2d82f-ab86-42ba-a146-fee872967f40|Nienow-Windler|2017-03-07|16|United States|Washington|5217 Main Street|2017-12-31 00:00:00|2017-12-31 00:00:00
14|05bd3c89-cc41-49a7-8c5b-7341bfa94662|Willms, Streich and Stiedemann|2017-04-06|19|United States|Arizona|5 Artisan Trail|2017-12-31 00:00:00|2017-12-31 00:00:00
15|0089a277-6a95-48f0-a7b1-767ff7170abd|Wilderman Group|2017-05-31|15|United States|District of Columbia|7 Bobwhite Place|2017-12-31 00:00:00|2017-12-31 00:00:00
