id|showroom_id|product_id|quantity|stock_date|update_date|create_date
1|14|915|7|2018-01-17|2018-01-17 21:27:20|2018-01-17 21:27:20
2|2|948|10|2018-01-13|2018-01-13 11:03:46|2018-01-13 11:03:46
3|8|262|10|2018-01-07|2018-01-07 18:38:38|2018-01-07 18:38:38
4|3|582|6|2018-01-16|2018-01-16 11:55:43|2018-01-16 11:55:43
5|15|307|9|2018-01-24|2018-01-24 19:36:45|2018-01-24 19:36:45
6|1|823|10|2018-01-21|2018-01-21 05:30:40|2018-01-21 05:30:40
7|9|43|8|2018-01-05|2018-01-05 01:30:39|2018-01-05 01:30:39
8|3|467|10|2018-01-07|2018-01-07 11:22:16|2018-01-07 11:22:16
9|6|706|1|2018-01-06|2018-01-06 15:50:38|2018-01-06 15:50:38
10|4|703|9|2018-01-09|2018-01-09 15:22:31|2018-01-09 15:22:31
11|5|462|9|2018-01-21|2018-01-21 20:08:59|2018-01-21 20:08:59
12|3|31|10|2018-01-02|2018-01-02 21:43:32|2018-01-02 21:43:32
13|4|35|14|2018-01-02|2018-01-02 22:23:21|2018-01-02 22:23:21
14|1|63|6|2018-01-23|2018-01-23 05:58:09|2018-01-23 05:58:09
15|13|268|15|2018-01-14|2018-01-14 06:13:42|2018-01-14 06:13:42
16|11|101|16|2018-01-07|2018-01-07 18:34:59|2018-01-07 18:34:59
17|5|143|10|2018-01-18|2018-01-18 15:08:46|2018-01-18 15:08:46
18|13|329|15|2018-01-26|2018-01-26 17:28:55|2018-01-26 17:28:55
19|12|182|12|2018-01-21|2018-01-21 10:14:45|2018-01-21 10:14:45
20|5|400|13|2018-01-03|2018-01-03 05:15:32|2018-01-03 05:15:32
21|3|924|10|2018-01-12|2018-01-12 15:49:04|2018-01-12 15:49:04
22|9|137|16|2018-01-15|2018-01-15 09:37:06|2018-01-15 09:37:06
23|14|336|16|2018-01-23|2018-01-23 21:49:20|2018-01-23 21:49:20
24|7|578|16|2018-01-23|2018-01-23 19:44:30|2018-01-23 19:44:30
25|12|557|8|2018-01-05|2018-01-05 11:14:30|2018-01-05 11:14:30
26|9|59|13|2018-01-25|2018-01-25 11:27:21|2018-01-25 11:27:21
27|11|203|6|2018-01-12|2018-01-12 11:32:41|2018-01-12 11:32:41
28|6|264|8|2018-01-03|2018-01-03 05:25:28|2018-01-03 05:25:28
29|4|361|11|2018-01-25|2018-01-25 19:44:47|2018-01-25 19:44:47
30|7|668|8|2018-01-17|2018-01-17 08:54:13|2018-01-17 08:54:13
31|13|801|14|2018-01-24|2018-01-24 16:55:46|2018-01-24 16:55:46
32|3|855|6|2018-01-10|2018-01-10 15:44:42|2018-01-10 15:44:42
33|1|704|13|2018-01-18|2018-01-18 02:18:45|2018-01-18 02:18:45
34|3|364|11|2018-01-30|2018-01-30 17:04:47|2018-01-30 17:04:47
35|2|310|8|2018-01-29|2018-01-29 20:40:54|2018-01-29 20:40:54
36|8|215|12|2018-01-20|2018-01-20 08:35:25|2018-01-20 08:35:25
37|13|281|11|2018-01-20|2018-01-20 19:19:18|2018-01-20 19:19:18
38|14|519|11|2018-01-21|2018-01-21 20:08:27|2018-01-21 20:08:27
39|15|475|8|2018-01-09|2018-01-09 00:31:25|2018-01-09 00:31:25
40|10|28|10|2018-01-06|2018-01-06 13:29:59|2018-01-06 13:29:59
41|14|160|10|2018-01-29|2018-01-29 17:42:21|2018-01-29 17:42:21
42|6|189|14|2018-01-25|2018-01-25 00:24:50|2018-01-25 00:24:50
43|8|203|15|2018-01-15|2018-01-15 12:30:00|2018-01-15 12:30:00
44|15|592|12|2018-01-17|2018-01-17 01:25:54|2018-01-17 01:25:54
45|7|186|8|2018-01-11|2018-01-11 22:56:07|2018-01-11 22:56:07
46|9|216|15|2018-01-02|2018-01-02 23:05:48|2018-01-02 23:05:48
47|3|939|12|2018-01-08|2018-01-08 13:14:45|2018-01-08 13:14:45
48|14|305|14|2018-01-19|2018-01-19 10:11:57|2018-01-19 10:11:57
49|10|951|12|2018-01-01|2018-01-01 09:21:10|2018-01-01 09:21:10
50|11|960|14|2018-01-03|2018-01-03 21:49:14|2018-01-03 21:49:14
51|6|805|9|2018-01-12|2018-01-12 00:36:32|2018-01-12 00:36:32
52|15|8|11|2018-01-16|2018-01-16 01:02:50|2018-01-16 01:02:50
53|3|724|10|2018-01-14|2018-01-14 21:29:03|2018-01-14 21:29:03
54|7|359|12|2018-01-16|2018-01-16 16:06:40|2018-01-16 16:06:40
55|13|928|8|2018-01-05|2018-01-05 23:32:35|2018-01-05 23:32:35
56|13|347|11|2018-01-07|2018-01-07 16:14:19|2018-01-07 16:14:19
57|11|474|8|2018-01-25|2018-01-25 06:43:20|2018-01-25 06:43:20
58|5|981|10|2018-01-04|2018-01-04 14:01:16|2018-01-04 14:01:16
59|7|286|13|2018-01-12|2018-01-12 00:00:16|2018-01-12 00:00:16
60|3|324|11|2018-01-13|2018-01-13 07:22:56|2018-01-13 07:22:56
61|4|809|14|2018-01-27|2018-01-27 10:33:38|2018-01-27 10:33:38
62|10|649|12|2018-01-07|2018-01-07 02:28:43|2018-01-07 02:28:43
63|8|780|14|2018-01-26|2018-01-26 09:08:04|2018-01-26 09:08:04
64|3|896|13|2018-01-13|2018-01-13 11:43:39|2018-01-13 11:43:39
65|14|174|16|2018-01-08|2018-01-08 14:08:04|2018-01-08 14:08:04
66|15|52|11|2018-01-15|2018-01-15 14:02:57|2018-01-15 14:02:57
67|4|407|7|2018-01-04|2018-01-04 00:44:31|2018-01-04 00:44:31
68|4|170|13|2018-01-11|2018-01-11 08:55:50|2018-01-11 08:55:50
69|10|421|7|2018-01-24|2018-01-24 15:52:57|2018-01-24 15:52:57
70|7|445|11|2018-01-26|2018-01-26 02:49:34|2018-01-26 02:49:34
71|11|739|12|2018-01-30|2018-01-30 00:59:34|2018-01-30 00:59:34
72|1|754|8|2018-01-25|2018-01-25 09:59:28|2018-01-25 09:59:28
73|6|64|11|2018-01-15|2018-01-15 05:58:29|2018-01-15 05:58:29
74|5|87|11|2018-01-06|2018-01-06 06:05:05|2018-01-06 06:05:05
75|11|861|11|2018-01-25|2018-01-25 21:46:16|2018-01-25 21:46:16
76|2|904|13|2018-01-08|2018-01-08 16:05:20|2018-01-08 16:05:20
77|14|325|10|2018-01-22|2018-01-22 23:31:15|2018-01-22 23:31:15
78|6|929|13|2018-01-11|2018-01-11 07:25:39|2018-01-11 07:25:39
79|4|924|9|2018-01-04|2018-01-04 05:14:17|2018-01-04 05:14:17
80|9|627|7|2018-01-30|2018-01-30 00:51:33|2018-01-30 00:51:33
81|5|773|6|2018-01-12|2018-01-12 16:43:42|2018-01-12 16:43:42
82|7|753|13|2018-01-30|2018-01-30 13:21:30|2018-01-30 13:21:30
83|10|558|12|2018-01-26|2018-01-26 13:46:32|2018-01-26 13:46:32
84|14|26|11|2018-01-24|2018-01-24 19:57:28|2018-01-24 19:57:28
85|15|650|5|2018-01-22|2018-01-22 20:45:52|2018-01-22 20:45:52
86|5|251|10|2018-01-20|2018-01-20 20:46:59|2018-01-20 20:46:59
